"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","0.1uf","","","","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"J1","1","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J2","1","Screw_Terminal_01x04","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm","~"
"R1,R3","2","10k","","","","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P30.48mm_Horizontal","~"
"R2","1","20","","","","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P30.48mm_Horizontal","~"
"R4","1","10","","","","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P30.48mm_Horizontal","~"
"R5,R6","2","15k","","","","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P30.48mm_Horizontal","~"
"R7","1","1.5k","","","","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P30.48mm_Horizontal","~"
"RV1","1","R_Potentiometer_Dual_MountingPin","","","","Potentiometer_THT:Potentiometer_Alps_RK163_Dual_Horizontal","~"
"U1,U2","2","LM358","","","","Package_DIP:CERDIP-8_W7.62mm_SideBrazed_Socket","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
